,0.25 ADE,0.25 AIE,0.5 ADE,0.5 AIE,0.75 ADE,0.75 AIE
0,0.6820050726694046,-0.0008017174666025184,0.6414368549433371,0.0023398417581388742,0.6287626988522355,-0.0003188207460870274
1,0.6974805530102338,-0.00716463512706639,0.7153079303682912,-0.004417117951088656,0.6172065897386894,0.010065066286510388
2,0.6920769044771216,0.0028482576060340392,0.7152766950062647,0.007772997830129711,0.7047645469611815,0.0013947459133783013
3,0.6341769957992971,0.004778502345944738,0.6627265457713167,0.005828561804904595,0.645266647551497,0.0011624885155721643
4,0.6551608116452584,-0.00030621856580463456,0.6955452548304834,0.007561385543387402,0.6586147878803417,-0.0017778840449338418
5,0.6400337849395887,-0.00033742033540850257,0.6118059191307121,0.0007440020059683405,0.6571431007325725,0.0023463773429162416
6,0.6886957813017855,0.0011152625245797764,0.6932801710976352,0.0030341887532186716,0.6953646618658029,-0.0026523160857604465
7,0.6715222170102604,-0.0006337691483692254,0.7122612554811967,-0.002607159450248915,0.7244090006677921,0.0022666048270677665
8,0.6419445704550334,0.0029151816115471265,0.6255214420703075,0.00632629527883644,0.6274694764412385,0.0043305654280852935
9,0.661706524815176,-0.0007629901115095449,0.6582773971010744,0.010038518109940142,0.623815314642329,0.00446222731200919
