,0.25 ADE,0.25 AIE,0.25 ASDE,0.5 ADE,0.5 AIE,0.5 ASDE,0.75 ADE,0.75 AIE,0.75 ASDE
25,0.505899191094838,-0.007664601791509646,0.0002969716540306501,0.5005659961955593,-0.0006420591149759503,-0.00047878818538841627,0.46156811947546733,0.00401502924031746,-0.0009581719181451859
26,0.4382398254781432,0.017245967331232636,-0.0024061094102236385,0.6090892721364174,-0.001553366344224756,-0.0005075139425445172,0.3857459280588338,0.0009328367820518224,-0.0005205971881078232
27,0.4377489893040267,-0.0016541361978191205,-0.0002950982399785151,0.46906946421418,0.001612557504581673,-0.0007044285774244659,0.5398162511937161,-0.0013316018279127206,-0.0004395238210592998
28,0.49302234251141874,-0.0012432659401042656,-0.0003985800501431723,0.4989896332308496,0.012978865961893717,-0.0020004150629675636,0.43813061782406704,-0.008694491819370568,0.000511993874898787
29,0.5972294038809544,0.0023311107966170396,-0.0009422060011024174,0.6386338352493981,-0.00359857307960425,-0.0002988054418295702,0.44154415156528914,-0.0005328136308393994,-0.00044031065869635854
30,0.5266970952109267,0.0006856839789954349,-0.0006578059393803402,0.5801089210622595,0.0007832016622511872,-0.0007214016046321697,0.3702431254831977,0.00761148308482106,-0.0012423460904168934
31,0.5006956747068962,-0.0013658453280413951,-0.00041138914236250873,0.5873690235654041,0.010365126161851635,-0.00180293609019631,0.5032355549232086,-0.015126258356067552,0.0011308393087458245
32,0.44855765763068084,0.00821471429104747,-0.0014006100536725883,0.5265165277891611,0.00920440918274224,-0.0015981771021928292,0.5848825133125912,0.0027881431755649544,-0.000949524163874669
33,0.5459821567855162,-0.0022248938099553683,-0.0003649711318456493,0.515111108779371,0.0025402237334545674,-0.0008764814140899023,0.40182329949431744,0.003141766020488177,-0.0007904186510882609
34,0.4668217272311205,-0.00029669610105205636,-0.00047205710656949624,0.45226051912663046,-0.002623327024456472,-0.00023354036064962734,0.5367580019673542,-0.0007772172599527494,-0.0004969767259528597
35,0.4910504758115439,0.0023487792776542447,-0.0008046539828139217,0.5121957428606722,0.005667586609998736,-0.001212421919857779,0.5203836995851461,-0.0007180881759209967,-0.000536332873205283
36,0.48257728979278725,0.005364700187056819,-0.0011408871046499722,0.5044981145070936,0.01282288687163323,-0.0020035467010554235,0.6202077033246655,-0.0031642124643373394,-0.0003294249307795188
