,0.25 ADE,0.25 AIE,0.25 ASDE,0.5 ADE,0.5 AIE,0.5 ASDE,0.75 ADE,0.75 AIE,0.75 ASDE
274,0.5698122712151847,-0.004980961849898619,-6.557037025487647e-05,0.7165322382398347,-0.004809311124667488,-0.00025523175743129734,0.649132196182451,0.0001265212357617429,-0.0007597471606174002
275,0.6903065973144652,-0.0030777203598422887,-0.000408163804708075,0.7340214953914619,-1.0787895185728757e-05,-0.00078802662194734,0.6206780583722513,-0.002539052043733818,-0.00040474351193161634
276,0.694854024488158,-0.0005614700992234135,-0.0006658274089952629,0.7016058999015469,-0.009328368736797757,0.00024900558703148143,0.6519874747004781,0.015839101178204373,-0.0024775930230713367
277,0.6341591311357915,-0.004146818061447704,-0.00022492983459586452,0.7752574954731877,-0.007605117714286677,8.199163828994662e-06,0.5609551772204364,0.008237115062852922,-0.0015126950698383923
278,0.6503630596753832,0.010864019352284515,-0.0019348232430132302,0.6458959263373527,-0.012158601659984072,0.000609155623591418,0.5912501014680234,-0.0005623340067609207,-0.0005937229239347121
279,0.5747294775748606,0.00036160889049241974,-0.000687807958255491,0.5534380298254185,-0.0045402062566449785,-8.12148175623482e-05,0.532405760685144,0.010298836821713736,-0.0017333419609293175
280,0.7111760626700293,-0.006431773261536904,-6.738409521842877e-05,0.6855348320163965,-0.009686285823898686,0.0002928613312401209,0.731650911532221,0.00011779088292144025,-0.000783837856158584
281,0.6989311373150494,-0.002871435217305134,-0.0004587465577400785,0.714540691587376,-0.003141649386456038,-0.0004611843522938574,0.6558348503170301,-0.006356828050389254,-1.816182155934772e-05
282,0.5936031042811364,-0.002376859393265249,-0.00042006232139798024,0.6783130560196795,0.004314757262491185,-0.0012369438363981171,0.6295833661169645,0.004477650967562568,-0.0011963180174215905
283,0.5735167118942625,-0.0008393691950473681,-0.0005365447839350753,0.6221144905783946,-0.006670032859637445,4.925074829561476e-05,0.7225489337216562,-0.00030488578410370337,-0.0007706494560264929
284,0.5212481573302669,0.0020396719305298917,-0.0008080985958753135,0.7836656124526686,0.003148696051881075,-0.001213453407615551,0.6444025037263619,0.0037907319753583122,-0.0011841352001909892
285,0.6526723533891758,0.0007247120363301462,-0.0008115042817011124,0.7024083792110785,0.003453827459722163,-0.00117374387871266,0.7346898765111489,0.002289066433167477,-0.0010408265951829102
286,0.6610878959321752,-0.010729316285040227,0.0004900775576305092,0.7194069015445268,-0.00407968211962924,-0.0003374945064124009,0.5242217928349158,0.001139631864000421,-0.0007562988486078292
